Time,Signal
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,-479
840,-535
845,-670
850,-596
855,-705
860,-681
865,-652
870,-682
875,-640
880,-763
885,-695
890,-707
895,-778
900,-737
905,-735
910,-774
915,-922
920,-762
925,-717
930,-749
935,-776
940,-761
945,-758
950,-888
955,-792
960,-786
965,-816
970,-809
975,-816
980,-810
985,-812
990,-868
995,-829
1000,-878
1005,-778
1010,-852
1015,-869
1020,-858
1025,-888
1030,-903
1035,-852
1040,-845
1045,-855
1050,-864
1055,-818
1060,-840
1065,-876
1070,-850
1075,-880
1080,-922
1085,-921
1090,-799
1095,-838
1100,-918
1105,-891
1110,-926
1115,-869
1120,-816
1125,-865
1130,-945
1135,-934
1140,-802
1145,-844
1150,-835
1155,-728
1160,-765
1165,-814
1170,-850
1175,-847
1180,-875
1185,-873
1190,-893
1195,-867
1200,-900
1205,-862
1210,-907
1215,-842
1220,-934
1225,-930
1230,-927
1235,-908
1240,-868
1245,-914
1250,-936
1255,-944
1260,-969
1265,-898
1270,-947
1275,-961
1280,-972
1285,-954
1290,-882
1295,-939
1300,-1002
1305,-927
1310,-959
1315,-920
1320,-929
1325,-999
1330,-1027
1335,-954
1340,-936
1345,-891
1350,-1067
1355,-902
1360,-893
1365,-1012
1370,-942
1375,-993
1380,-944
1385,-939
1390,-983
1395,-886
1400,-947
1405,-928
1410,-969
1415,-999
1420,-987
1425,-960
1430,-971
1435,-947
1440,-1017
1445,-922
1450,-908
1455,-939
1460,-978
1465,-999
1470,-981
1475,-998
1480,-1051
1485,-1039
1490,-1037
1495,-1006
1500,-1052
1505,-991
1510,-1027
1515,-1033
1520,-978
1525,-954
1530,-1003
1535,-911
1540,-986
