Time,Signal
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,-32742
840,-32747
845,-32740
850,-32747
855,-32746
860,-32743
865,-32740
870,-32743
875,-32746
880,-32545
885,-32642
890,-32603
895,-32565
900,-32565
905,-32543
910,-32551
915,-32722
920,-32424
925,-32274
930,-32354
935,-32416
940,-32316
945,-32349
950,-32304
955,-32233
960,-32199
965,-32132
970,-32146
975,-32064
980,-32067
985,-32108
990,-31999
995,-31998
1000,-32068
1005,-31885
1010,-31886
1015,-31874
1020,-31867
1025,-31844
1030,-31824
1035,-31851
1040,-31797
1045,-31748
1050,-31681
1055,-31667
1060,-31628
1065,-31572
1070,-31552
1075,-31556
1080,-31491
1085,-31545
1090,-31480
1095,-31438
1100,-31354
1105,-31394
1110,-31376
1115,-31325
1120,-31313
1125,-31281
1130,-31202
1135,-31223
1140,-31166
1145,-31211
1150,-31102
1155,-30908
1160,-30958
1165,-31043
1170,-31065
1175,-31007
1180,-30888
1185,-30956
1190,-30916
1195,-30794
1200,-30811
1205,-30859
1210,-30769
1215,-30648
1220,-30754
1225,-30728
1230,-30650
1235,-30646
1240,-30546
1245,-30566
1250,-30580
1255,-30573
1260,-30583
1265,-30493
1270,-30397
1275,-30456
1280,-30364
1285,-30353
1290,-30292
1295,-30320
1300,-30283
1305,-30200
1310,-30308
1315,-30205
1320,-30070
1325,-30140
1330,-30155
1335,-30102
1340,-30038
1345,-30039
1350,-30165
1355,-29927
1360,-29928
1365,-29874
1370,-29897
1375,-29889
1380,-29828
1385,-29860
1390,-29866
1395,-29781
1400,-29800
1405,-29718
1410,-29666
1415,-29633
1420,-29625
1425,-29604
1430,-29594
1435,-29570
1440,-29708
1445,-29466
