Time,Signal
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,6148
860,6147
865,6146
870,6144
875,6141
880,6138
885,6135
890,6131
895,6126
900,6121
905,6116
910,6111
915,6105
920,6099
925,6092
930,6086
935,6079
940,6073
945,6066
950,6059
955,6052
960,6046
965,6039
970,6033
975,6026
980,6020
985,6014
990,6008
995,6002
1000,5997
1005,5991
1010,5986
1015,5981
1020,5976
1025,5972
1030,5967
1035,5963
1040,5959
1045,5955
1050,5951
1055,5947
1060,5944
1065,5940
1070,5937
1075,5933
1080,5930
1085,5927
1090,5924
1095,5920
1100,5917
1105,5914
1110,5911
1115,5908
1120,5904
1125,5901
1130,5898
1135,5895
1140,5891
1145,5888
1150,5884
1155,5881
1160,5877
1165,5874
1170,5870
1175,5866
1180,5862
1185,5859
1190,5855
1195,5851
1200,5847
1205,5843
1210,5839
1215,5835
1220,5831
1225,5827
1230,5823
1235,5819
1240,5815
1245,5811
1250,5807
1255,5803
1260,5799
1265,5795
1270,5791
1275,5787
1280,5783
1285,5779
1290,5775
1295,5771
1300,5767
1305,5763
1310,5759
1315,5755
1320,5751
1325,5747
1330,5743
1335,5739
1340,5735
1345,5731
1350,5727
1355,5723
1360,5718
1365,5714
1370,5709
1375,5705
1380,5700
1385,5695
1390,5690
1395,5685
1400,5679
1405,5674
1410,5668
1415,5662
1420,5656
1425,5649
1430,5643
1435,5636
1440,5629
1445,5622
1450,5615
1455,5607
1460,5599
1465,5591
1470,5583
1475,5575
1480,5566
1485,5557
1490,5548
1495,5539
1500,5530
1505,5521
1510,5511
1515,5501
1520,5492
1525,5482
1530,5472
1535,5462
1540,5451
1545,5441
1550,5431
1555,5421
