Time,Signal
0,2504
10,2493
20,2485
30,2473
40,2461
50,2451
60,2450
70,2453
80,2457
90,2450
100,2438
110,2425
120,2413
130,2408
140,2404
150,2401
160,2391
170,2381
180,2372
190,2363
200,2358
210,2364
220,2371
230,2377
240,2369
250,2358
260,2341
270,2326
280,2318
290,2306
300,2294
310,2280
320,2272
330,2262
340,2253
350,2244
360,2248
370,2251
380,2250
390,2248
400,2239
410,2227
420,2223
430,2219
440,2217
450,2211
460,2205
470,2201
480,2196
490,2194
500,2187
510,2171
520,2154
530,2146
540,2146
550,2146
560,2133
570,2122
580,2122
590,2125
600,2133
610,2139
620,2128
630,2125
640,2154
650,2174
660,2187
670,2198
680,2201
690,2198
700,2198
710,2190
720,2183
730,2178
740,2185
750,2198
760,2207
770,2221
780,2231
790,2227
800,2211
810,2198
820,2181
830,2169
840,2157
850,2146
860,2131
870,2122
880,2122
890,2131
900,2171
910,2203
920,2219
930,2229
940,2235
950,2240
960,2225
970,2207
980,2185
990,2162
1000,2146
1010,2136
1020,2131
1030,2131
1040,2131
1050,2122
1060,2114
1070,2096
1080,2076
1090,2059
1100,2041
1110,2030
1120,2018
1130,2014
1140,2010
1150,1997
1160,1988
1170,1983
1180,1964
1190,1944
1200,1933
1210,1922
1220,1922
1230,1904
1240,1916
1250,1922
1260,1922
1270,1910
1280,1910
1290,1910
1300,1916
1310,1904
1320,1904
1330,1898
1340,1886
1350,1879
1360,1872
1370,1872
1380,1866
1390,1866
1400,1886
1410,1949
1420,2014
1430,2063
1440,2093
1450,2119
1460,2154
1470,2187
1480,2209
1490,2231
1500,2239
1510,2239
1520,2221
1530,2198
1540,2171
1550,2141
1560,2116
1570,2080
1580,2059
1590,2056
1600,2052
1610,2037
1620,2030
1630,2022
1640,2030
1650,2034
1660,2045
1670,2049
1680,2052
1690,2052
1700,2073
1710,2089
1720,2089
1730,2086
1740,2108
1750,2125
1760,2139
1770,2144
1780,2133
1790,2119
1800,2099
1810,2089
1820,2086
1830,2089
1840,2089
1850,2073
1860,2052
1870,2049
1880,2041
1890,2030
1900,2018
1910,2005
1920,1992
1930,1988
1940,1983
1950,1969
1960,1949
1970,1939
1980,1949
1990,1954
2000,1954
2010,1944
2020,1933
2030,1916
2040,1904
2050,1910
2060,1922
2070,1974
2080,2018
2090,2014
2100,2010
2110,2005
2120,1992
2130,1983
2140,1983
2150,1988
2160,1992
