Time,Signal
0ms,0
5ms,0
10ms,0
15ms,0
20ms,0
25ms,0
30ms,0
35ms,0
40ms,0
45ms,0
50ms,0
55ms,0
60ms,0
65ms,0
70ms,0
75ms,0
80ms,0
85ms,0
90ms,0
95ms,0
100ms,0
105ms,0
110ms,0
115ms,0
120ms,0
125ms,0
130ms,0
135ms,0
140ms,0
145ms,0
150ms,0
155ms,0
160ms,0
165ms,0
170ms,0
175ms,0
180ms,0
185ms,0
190ms,0
195ms,0
200ms,0
205ms,0
210ms,0
215ms,0
220ms,0
225ms,0
230ms,0
235ms,0
240ms,0
245ms,0
250ms,0
255ms,0
260ms,0
265ms,0
270ms,0
275ms,0
280ms,0
285ms,0
290ms,0
295ms,0
300ms,0
305ms,0
310ms,0
315ms,0
320ms,0
325ms,0
330ms,0
335ms,0
340ms,0
345ms,0
350ms,0
355ms,0
360ms,0
365ms,0
370ms,0
375ms,0
380ms,0
385ms,0
390ms,0
395ms,0
400ms,0
405ms,0
410ms,0
415ms,0
420ms,0
425ms,0
430ms,0
435ms,0
440ms,0
445ms,0
450ms,0
455ms,0
460ms,0
465ms,0
470ms,0
475ms,0
480ms,0
485ms,0
490ms,0
495ms,0
500ms,0
505ms,0
510ms,0
515ms,0
520ms,0
525ms,0
530ms,0
535ms,0
540ms,0
545ms,0
550ms,0
555ms,0
560ms,0
565ms,0
570ms,0
575ms,0
580ms,0
585ms,0
590ms,0
595ms,0
600ms,0
605ms,0
610ms,0
615ms,0
620ms,0
625ms,0
630ms,0
635ms,0
640ms,0
645ms,0
650ms,0
655ms,0
660ms,0
665ms,0
670ms,0
675ms,0
680ms,0
685ms,0
690ms,0
695ms,0
700ms,0
705ms,0
710ms,0
715ms,0
720ms,0
725ms,0
730ms,0
735ms,0
740ms,0
745ms,0
750ms,0
755ms,0
760ms,0
765ms,0
770ms,0
775ms,0
780ms,0
785ms,0
790ms,0
795ms,0
800ms,0
805ms,0
810ms,0
815ms,0
820ms,0
825ms,0
830ms,0
835ms,1
840ms,0
845ms,0
850ms,0
855ms,3
860ms,2
865ms,2
870ms,2
875ms,0
880ms,1
885ms,1
890ms,1
895ms,1
900ms,2
905ms,1
910ms,1
915ms,0
920ms,1
925ms,0
930ms,1
935ms,1
940ms,1
945ms,2
950ms,2
955ms,1
960ms,2
965ms,2
970ms,0
975ms,-2
980ms,2
985ms,4
990ms,4
995ms,3
1000ms,3
1005ms,2
1010ms,2
1015ms,2
1020ms,1
1025ms,-2
1030ms,0
1035ms,2
1040ms,4
1045ms,3
1050ms,3
1055ms,2
1060ms,2
1065ms,1
1070ms,1
1075ms,0
1080ms,-1
1085ms,0
1090ms,1
1095ms,1
1100ms,-1
1105ms,2
1110ms,2
1115ms,1
1120ms,0
1125ms,-1
1130ms,-1
1135ms,0
1140ms,2
1145ms,10
1150ms,15
1155ms,18
1160ms,16
1165ms,9
1170ms,0
1175ms,-5
1180ms,-7
1185ms,-9
1190ms,-6
1195ms,-2
1200ms,1
1205ms,1
1210ms,1
1215ms,0
1220ms,0
1225ms,1
1230ms,0
1235ms,-1
1240ms,1
1245ms,1
1250ms,2
1255ms,1
1260ms,1
1265ms,1
1270ms,0
1275ms,1
1280ms,1
1285ms,0
1290ms,-1
1295ms,1
1300ms,2
1305ms,3
1310ms,2
1315ms,2
1320ms,1
1325ms,2
1330ms,2
1335ms,0
1340ms,0
1345ms,2
1350ms,5
1355ms,5
1360ms,5
1365ms,4
1370ms,4
1375ms,4
1380ms,4
1385ms,6
1390ms,8
1395ms,7
1400ms,8
1405ms,8
1410ms,8
1415ms,8
1420ms,7
1425ms,8
1430ms,8
1435ms,10
1440ms,11
1445ms,9
1450ms,8
1455ms,7
1460ms,6
1465ms,4
1470ms,3
1475ms,5
1480ms,5
1485ms,3
1490ms,2
1495ms,3
1500ms,3
1505ms,2
1510ms,3
1515ms,2
1520ms,1
1525ms,3
1530ms,3
1535ms,3
1540ms,2
1545ms,1
1550ms,1
1555ms,1
1560ms,2
1565ms,2
1570ms,2
1575ms,3
1580ms,1
1585ms,1
1590ms,2
1595ms,1
1600ms,1
1605ms,3
1610ms,3
1615ms,1
1620ms,1
1625ms,2
1630ms,2
1635ms,2
1640ms,2
1645ms,2
1650ms,2
1655ms,2
1660ms,1
1665ms,0
1670ms,2
1675ms,3
1680ms,4
1685ms,2
1690ms,1
1695ms,3
1700ms,2
1705ms,3
1710ms,1
1715ms,1
1720ms,1
1725ms,2
1730ms,3
1735ms,2
1740ms,2
1745ms,2
1750ms,2
1755ms,2
1760ms,1
1765ms,1
1770ms,0
1775ms,3
1780ms,3
1785ms,2
1790ms,1
1795ms,2
1800ms,1
1805ms,1
1810ms,0
1815ms,0
1820ms,2
1825ms,2
1830ms,2
1835ms,2
1840ms,1
1845ms,1
1850ms,1
1855ms,0
1860ms,0
