Time,Signal
0ms,0
333ms,0
666ms,0
999ms,8025
1332ms,8025
1665ms,3709
1998ms,6049
2331ms,3121
2664ms,3121
2997ms,8025
3330ms,3025
3663ms,3025
3996ms,2092
4329ms,2092
4662ms,2092
4995ms,5782
5328ms,3146
5661ms,3146
5994ms,2750
6327ms,2750
6660ms,2750
6993ms,2103
7326ms,2103
7659ms,2037
7992ms,2037
8325ms,2037
8658ms,2037
8991ms,2037
9324ms,2037
9657ms,2105
9990ms,2105
10323ms,2105
10656ms,2080
10989ms,2080
11322ms,2080
11655ms,5782
11988ms,3197
12321ms,3197
12654ms,5699
12987ms,3197
13320ms,3197
13653ms,2103
13986ms,2103
14319ms,2059
14652ms,2059
14985ms,2059
15318ms,2048
15651ms,2048
15984ms,2048
16317ms,5958
16650ms,3250
16983ms,3250
17316ms,2103
17649ms,2103
17982ms,2103
18315ms,2059
18648ms,2059
18981ms,2059
19314ms,2103
19647ms,2103
19980ms,2103
20313ms,2103
20646ms,2103
20979ms,2103
21312ms,2103
21645ms,2103
21978ms,2103
22311ms,2103
22644ms,2103
22977ms,2103
23310ms,2103
23643ms,2103
23976ms,2092
24309ms,2092
24642ms,2092
24975ms,2137
25308ms,2137
25641ms,2247
25974ms,2247
26307ms,2247
26640ms,2114
26973ms,2114
27306ms,2114
27639ms,2083
27972ms,2083
28305ms,2083
28638ms,2080
28971ms,2080
29304ms,7419
29637ms,2849
29970ms,2849
30303ms,2059
30636ms,2059
30969ms,2059
31302ms,2092
31635ms,2092
31968ms,2092
32301ms,2048
32634ms,2048
32967ms,2048
33300ms,2037
33633ms,2037
33966ms,2037
34299ms,2069
34632ms,2069
34965ms,2069
35298ms,2016
35631ms,2016
35964ms,2016
36297ms,2016
36630ms,2016
36963ms,2048
37296ms,2048
37629ms,2048
37962ms,2006
38295ms,2006
38628ms,2006
38961ms,2059
39294ms,2059
39627ms,2059
39960ms,2016
40293ms,2016
40626ms,2016
40959ms,2037
41292ms,2037
41625ms,2037
41958ms,5782
42291ms,3096
42624ms,3096
42957ms,2069
43290ms,2069
43623ms,2069
43956ms,2027
44289ms,2027
44622ms,2027
44955ms,2039
45288ms,2039
45621ms,2039
45954ms,2059
46287ms,2059
46620ms,2037
46953ms,2037
47286ms,2037
47619ms,2059
47952ms,2059
48285ms,2059
48618ms,2080
48951ms,2080
49284ms,2080
49617ms,2048
49950ms,2048
50283ms,2048
50616ms,2048
50949ms,2048
51282ms,2048
51615ms,2103
51948ms,2103
52281ms,2103
52614ms,2048
52947ms,2048
53280ms,2027
53613ms,2027
53946ms,2027
54279ms,2103
54612ms,2103
54945ms,2103
55278ms,2016
55611ms,2016
55944ms,2016
56277ms,2750
56610ms,2750
56943ms,1680
57276ms,1680
57609ms,1680
57942ms,1680
58275ms,1996
58608ms,1996
58941ms,1996
59274ms,2048
59607ms,2048
59940ms,2048
60273ms,2080
60606ms,2080
60939ms,2037
61272ms,2037
61605ms,2037
61938ms,2048
62271ms,2048
62604ms,2048
62937ms,2083
63270ms,2083
63603ms,2083
63936ms,2037
64269ms,2037
64602ms,2037
64935ms,2027
65268ms,2027
65601ms,2027
65934ms,2069
66267ms,2069
66600ms,2069
66933ms,2027
67266ms,2027
67599ms,2027
67932ms,2037
68265ms,2037
68598ms,2037
68931ms,2059
69264ms,2059
69597ms,2027
