Time,Signal
0,0
40,0
80,0
120,0
160,0
200,0
240,0
280,0
320,0
360,0
400,0
440,0
480,0
520,0
560,0
600,0
640,0
680,0
720,0
760,0
800,0
840,7868
880,7869
920,7871
960,7872
1000,7873
1040,7875
1080,7876
1120,7877
1160,7879
1200,7880
1240,7882
1280,7883
1320,7884
1360,7885
1400,7886
1440,7887
1480,7888
1520,7889
1560,7890
1600,7891
1640,7892
1680,7892
1720,7893
1760,7893
1800,7893
1840,7893
1880,7893
1920,7892
1960,7891
2000,7890
2040,7889
2080,7888
2120,7887
2160,7886
2200,7884
2240,7883
2280,7882
2320,7881
2360,7880
2400,7879
2440,7878
2480,7877
2520,7877
2560,7876
2600,7875
2640,7875
2680,7874
2720,7874
2760,7873
2800,7873
2840,7873
2880,7873
2920,7872
2960,7872
3000,7872
3040,7872
3080,7872
3120,7871
3160,7871
3200,7871
3240,7871
3280,7870
3320,7870
3360,7870
3400,7870
3440,7870
3480,7869
3520,7869
3560,7869
3600,7869
3640,7869
3680,7869
3720,7869
3760,7870
3800,7871
3840,7872
3880,7873
3920,7874
3960,7875
4000,7876
4040,7878
4080,7879
4120,7880
4160,7882
4200,7883
4240,7884
4280,7885
4320,7886
4360,7887
4400,7888
4440,7889
4480,7890
4520,7891
4560,7892
4600,7893
4640,7893
4680,7893
4720,7893
4760,7893
4800,7893
4840,7892
4880,7891
4920,7890
4960,7889
5000,7889
5040,7888
5080,7887
5120,7886
5160,7885
5200,7884
5240,7883
5280,7883
5320,7882
5360,7882
5400,7881
5440,7881
5480,7880
5520,7880
5560,7880
5600,7879
5640,7879
5680,7878
5720,7878
5760,7878
5800,7878
5840,7877
5880,7877
5920,7877
5960,7877
6000,7876
6040,7876
6080,7876
6120,7875
6160,7875
6200,7875
6240,7875
6280,7874
6320,7874
6360,7874
6400,7875
6440,7875
6480,7875
6520,7876
6560,7877
6600,7878
6640,7879
6680,7880
6720,7881
6760,7882
6800,7883
6840,7885
6880,7886
6920,7887
6960,7888
7000,7890
7040,7891
7080,7892
7120,7893
7160,7893
7200,7894
7240,7895
7280,7896
7320,7897
7360,7898
7400,7898
7440,7899
7480,7899
7520,7899
7560,7899
7600,7898
7640,7898
7680,7897
7720,7896
7760,7895
7800,7894
7840,7893
7880,7892
7920,7891
7960,7889
8000,7888
8040,7887
8080,7886
8120,7885
8160,7884
8200,7883
8240,7883
8280,7882
8320,7882
8360,7881
8400,7881
8440,7880
8480,7880
8520,7879
8560,7879
8600,7879
8640,7878
8680,7878
8720,7878
8760,7878
8800,7878
8840,7878
8880,7877
8920,7877
8960,7877
9000,7876
9040,7876
9080,7876
9120,7876
9160,7875
9200,7875
9240,7875
9280,7875
9320,7875
9360,7875
9400,7875
9440,7875
9480,7875
9520,7875
9560,7875
9600,7875
9640,7875
9680,7875
9720,7876
9760,7877
9800,7878
9840,7879
9880,7880
9920,7881
9960,7882
10000,7883
10040,7885
10080,7886
10120,7887
10160,7888
10200,7890
10240,7891
10280,7892
10320,7893
10360,7894
10400,7895
10440,7896
10480,7897
10520,7898
10560,7899
10600,7900
10640,7901
10680,7901
10720,7901
10760,7901
10800,7901
10840,7900
10880,7900
10920,7899
10960,7898
11000,7898
11040,7897
11080,7896
11120,7895
11160,7895
11200,7894
11240,7893
11280,7892
11320,7891
11360,7890
11400,7889
11440,7888
11480,7888
11520,7887
11560,7886
11600,7885
11640,7884
11680,7884
11720,7883
11760,7882
11800,7882
11840,7881
11880,7880
11920,7880
11960,7879
12000,7879
12040,7878
12080,7878
12120,7878
12160,7878
12200,7877
12240,7877
12280,7877
12320,7877
12360,7877
12400,7877
12440,7877
12480,7877
12520,7877
12560,7877
12600,7877
12640,7877
12680,7876
12720,7876
12760,7876
12800,7876
12840,7876
12880,7876
12920,7875
12960,7875
13000,7875
13040,7875
13080,7876
13120,7876
13160,7877
13200,7878
13240,7879
13280,7880
13320,7881
13360,7882
13400,7883
13440,7885
13480,7886
13520,7887
13560,7888
13600,7889
13640,7890
13680,7891
13720,7892
13760,7893
13800,7894
13840,7895
13880,7896
13920,7897
13960,7898
14000,7899
14040,7899
14080,7900
14120,7900
14160,7900
14200,7900
14240,7900
14280,7899
14320,7898
14360,7897
14400,7896
14440,7895
14480,7895
14520,7894
14560,7893
14600,7892
14640,7891
14680,7890
14720,7889
14760,7888
14800,7887
14840,7886
14880,7886
14920,7885
14960,7885
15000,7884
15040,7884
15080,7884
15120,7883
15160,7883
15200,7883
15240,7883
15280,7883
15320,7882
15360,7882
15400,7882
15440,7881
15480,7881
15520,7881
15560,7880
15600,7880
15640,7880
15680,7879
15720,7879
15760,7879
15800,7879
15840,7879
15880,7879
15920,7879
15960,7879
16000,7879
16040,7879
16080,7879
16120,7880
16160,7881
16200,7882
16240,7883
16280,7884
16320,7885
16360,7886
16400,7887
16440,7888
16480,7889
16520,7890
16560,7891
16600,7892
16640,7893
16680,7894
16720,7894
16760,7895
16800,7896
16840,7897
16880,7898
16920,7899
16960,7900
17000,7900
17040,7901
17080,7902
17120,7902
17160,7902
17200,7902
17240,7901
17280,7901
17320,7900
17360,7899
17400,7898
17440,7897
17480,7896
17520,7895
17560,7894
17600,7893
17640,7892
17680,7891
17720,7890
17760,7889
17800,7889
17840,7888
17880,7887
17920,7886
17960,7886
18000,7885
18040,7884
18080,7884
18120,7884
18160,7883
18200,7883
18240,7883
18280,7882
18320,7882
18360,7882
18400,7881
18440,7881
18480,7880
18520,7880
18560,7880
18600,7879
18640,7879
18680,7879
18720,7879
18760,7879
18800,7879
18840,7879
18880,7879
18920,7879
18960,7879
19000,7879
19040,7879
19080,7878
19120,7878
19160,7878
19200,7878
19240,7879
19280,7880
19320,7881
19360,7882
19400,7883
19440,7884
19480,7885
19520,7887
19560,7888
19600,7889
19640,7890
19680,7892
19720,7893
19760,7894
19800,7895
19840,7896
19880,7897
19920,7898
19960,7899
20000,7900
20040,7901
20080,7901
20120,7902
20160,7902
20200,7902
20240,7902
20280,7901
20320,7900
20360,7899
20400,7898
20440,7896
20480,7894
20520,7891
20560,7887
20600,7882
20640,7877
20680,7871
20720,7863
20760,7853
20800,7842
20840,7831
20880,7820
20920,7810
20960,7802
21000,7797
21040,7793
21080,7789
21120,7785
21160,7782
21200,7782
21240,7782
21280,7782
21320,7781
21360,7779
21400,7776
21440,7774
21480,7771
21520,7769
21560,7767
21600,7766
21640,7765
21680,7764
21720,7762
21760,7761
21800,7760
21840,7760
21880,7760
21920,7760
21960,7759
22000,7759
22040,7759
22080,7759
22120,7759
22160,7760
22200,7760
22240,7760
22280,7760
22320,7760
22360,7760
22400,7762
22440,7763
22480,7764
22520,7765
22560,7766
22600,7767
22640,7768
22680,7769
22720,7771
22760,7772
22800,7772
22840,7773
22880,7773
22920,7773
22960,7773
23000,7773
23040,7773
23080,7773
23120,7772
23160,7771
23200,7770
23240,7769
23280,7768
23320,7768
23360,7767
23400,7766
23440,7766
23480,7765
23520,7764
23560,7764
23600,7763
23640,7763
23680,7762
23720,7762
23760,7761
23800,7760
23840,7760
23880,7759
23920,7759
23960,7758
24000,7758
24040,7757
24080,7756
24120,7755
24160,7754
24200,7753
24240,7752
24280,7751
24320,7750
24360,7750
24400,7750
24440,7750
24480,7749
24520,7749
24560,7749
24600,7748
24640,7747
24680,7746
24720,7746
24760,7744
24800,7743
24840,7742
24880,7742
24920,7743
24960,7745
25000,7746
25040,7747
25080,7751
25120,7756
25160,7761
25200,7766
25240,7770
25280,7773
25320,7777
25360,7781
25400,7785
25440,7790
25480,7795
25520,7802
25560,7810
25600,7818
25640,7828
25680,7837
25720,7846
25760,7854
25800,7862
25840,7869
25880,7875
25920,7880
25960,7886
26000,7891
26040,7896
26080,7898
26120,7901
26160,7904
26200,7907
26240,7909
26280,7910
26320,7911
26360,7911
26400,7911
26440,7911
26480,7910
26520,7910
26560,7910
26600,7910
26640,7910
26680,7910
26720,7907
26760,7904
26800,7899
26840,7895
26880,7890
26920,7885
26960,7879
27000,7875
27040,7870
27080,7867
27120,7864
27160,7862
27200,7860
27240,7858
27280,7856
27320,7854
27360,7852
27400,7850
27440,7849
27480,7848
27520,7846
27560,7845
27600,7844
27640,7843
27680,7842
27720,7842
27760,7841
27800,7840
27840,7839
27880,7839
27920,7838
27960,7838
28000,7838
28040,7837
28080,7837
28120,7836
28160,7836
28200,7835
28240,7835
28280,7835
28320,7835
28360,7835
28400,7834
28440,7834
28480,7834
28520,7834
28560,7834
28600,7833
28640,7833
28680,7833
28720,7832
28760,7831
28800,7831
28840,7831
28880,7830
28920,7830
28960,7830
29000,7830
29040,7830
29080,7829
29120,7828
29160,7825
29200,7823
29240,7821
29280,7820
29320,7819
29360,7820
29400,7820
29440,7820
29480,7821
29520,7823
29560,7825
29600,7827
29640,7829
29680,7829
29720,7830
29760,7830
29800,7830
29840,7830
29880,7830
29920,7830
29960,7831
30000,7832
30040,7832
30080,7832
30120,7832
30160,7832
30200,7833
30240,7833
30280,7833
30320,7833
30360,7833
30400,7833
30440,7833
30480,7833
30520,7833
30560,7833
30600,7833
30640,7834
30680,7835
30720,7836
30760,7837
30800,7838
30840,7839
30880,7841
30920,7844
30960,7847
31000,7849
31040,7853
31080,7856
31120,7858
31160,7858
31200,7859
31240,7859
31280,7860
31320,7860
31360,7862
31400,7863
31440,7864
31480,7867
31520,7870
31560,7871
31600,7871
31640,7871
31680,7871
31720,7872
31760,7874
31800,7875
31840,7875
31880,7876
31920,7876
31960,7876
32000,7876
32040,7876
32080,7876
32120,7876
32160,7875
32200,7874
32240,7874
32280,7874
32320,7874
32360,7873
32400,7873
32440,7873
32480,7872
32520,7872
32560,7871
32600,7871
32640,7871
32680,7871
32720,7870
32760,7870
32800,7870
32840,7870
32880,7870
32920,7870
32960,7870
33000,7870
33040,7870
33080,7870
33120,7870
33160,7870
33200,7870
33240,7869
33280,7869
33320,7869
33360,7868
33400,7868
33440,7868
33480,7867
33520,7867
33560,7866
33600,7866
33640,7866
33680,7866
33720,7866
33760,7867
33800,7867
33840,7867
33880,7868
33920,7869
33960,7870
34000,7871
34040,7872
34080,7873
34120,7874
34160,7876
34200,7877
34240,7878
34280,7879
34320,7880
34360,7881
34400,7881
34440,7881
34480,7882
34520,7882
34560,7882
34600,7881
34640,7881
34680,7880
34720,7880
34760,7879
34800,7878
34840,7877
34880,7877
34920,7876
34960,7875
35000,7875
35040,7874
35080,7874
35120,7874
35160,7873
35200,7873
35240,7872
35280,7872
35320,7872
35360,7871
35400,7871
35440,7870
35480,7870
35520,7869
35560,7869
35600,7869
35640,7869
35680,7869
35720,7869
35760,7869
35800,7869
35840,7868
35880,7868
35920,7868
35960,7868
36000,7868
36040,7868
36080,7868
36120,7868
36160,7868
36200,7868
36240,7868
36280,7868
36320,7868
36360,7867
36400,7867
36440,7867
36480,7867
36520,7867
36560,7867
36600,7867
36640,7866
36680,7866
36720,7866
36760,7866
36800,7866
36840,7867
36880,7867
36920,7868
36960,7869
37000,7869
37040,7870
37080,7871
37120,7872
37160,7873
37200,7874
37240,7875
37280,7876
37320,7876
37360,7877
37400,7877
37440,7878
37480,7878
37520,7879
37560,7879
37600,7879
37640,7879
37680,7878
37720,7877
37760,7877
37800,7876
37840,7876
37880,7875
37920,7875
37960,7874
38000,7874
38040,7873
38080,7873
38120,7872
38160,7872
38200,7871
38240,7871
38280,7871
38320,7870
38360,7869
38400,7869
38440,7869
38480,7869
38520,7868
38560,7868
38600,7868
38640,7868
38680,7868
38720,7868
38760,7868
38800,7868
38840,7868
38880,7868
38920,7868
38960,7868
39000,7867
39040,7867
39080,7867
39120,7867
39160,7867
39200,7868
39240,7868
39280,7868
39320,7869
39360,7870
39400,7871
39440,7872
39480,7873
39520,7874
39560,7876
39600,7877
39640,7878
39680,7879
39720,7880
39760,7880
39800,7881
39840,7881
39880,7881
39920,7881
39960,7880
40000,7879
40040,7879
40080,7878
40120,7877
40160,7876
40200,7876
40240,7875
40280,7874
40320,7874
40360,7874
40400,7873
40440,7873
40480,7873
40520,7873
40560,7873
40600,7873
40640,7873
40680,7873
40720,7873
40760,7873
40800,7874
40840,7875
40880,7874
40920,7875
40960,7875
41000,7875
41040,7874
41080,7874
41120,7873
41160,7873
41200,7872
41240,7872
41280,7871
41320,7871
41360,7870
41400,7870
41440,7870
41480,7870
41520,7870
41560,7870
41600,7870
41640,7870
41680,7870
41720,7870
41760,7870
41800,7870
41840,7869
41880,7869
41920,7869
41960,7869
42000,7869
42040,7869
42080,7869
42120,7869
42160,7869
42200,7868
42240,7868
42280,7868
42320,7868
42360,7868
42400,7868
42440,7868
42480,7867
42520,7867
42560,7868
42600,7868
42640,7869
42680,7869
42720,7870
42760,7871
42800,7872
42840,7874
42880,7875
42920,7876
42960,7878
43000,7879
43040,7880
43080,7881
43120,7883
43160,7883
43200,7885
43240,7886
43280,7886
43320,7887
43360,7887
43400,7887
43440,7887
43480,7886
43520,7886
43560,7885
43600,7884
43640,7883
43680,7882
43720,7882
43760,7881
43800,7880
43840,7879
43880,7878
43920,7878
43960,7877
44000,7877
44040,7876
44080,7876
44120,7875
44160,7874
44200,7874
44240,7873
44280,7873
44320,7873
44360,7873
44400,7872
44440,7872
44480,7872
44520,7872
44560,7872
44600,7872
44640,7871
44680,7871
44720,7871
44760,7871
44800,7871
44840,7871
44880,7871
44920,7871
44960,7871
45000,7871
45040,7870
45080,7870
45120,7870
45160,7870
45200,7870
45240,7870
45280,7869
45320,7869
45360,7869
45400,7869
45440,7869
45480,7869
45520,7869
45560,7869
45600,7870
45640,7871
45680,7871
45720,7872
45760,7873
45800,7874
45840,7875
45880,7876
45920,7877
45960,7878
46000,7879
46040,7880
46080,7881
46120,7882
46160,7883
46200,7883
46240,7884
46280,7885
46320,7885
46360,7885
46400,7886
46440,7886
46480,7885
46520,7885
46560,7884
46600,7883
46640,7882
46680,7881
46720,7881
46760,7880
46800,7879
46840,7878
46880,7878
46920,7877
46960,7877
47000,7876
47040,7875
47080,7874
47120,7874
47160,7874
47200,7873
47240,7873
47280,7873
47320,7872
47360,7872
47400,7872
47440,7872
47480,7872
47520,7871
47560,7871
47600,7871
47640,7871
47680,7871
47720,7871
47760,7871
47800,7871
47840,7871
47880,7870
47920,7870
47960,7870
48000,7870
48040,7870
48080,7870
48120,7871
48160,7872
48200,7873
48240,7874
48280,7875
48320,7877
48360,7878
48400,7879
48440,7880
48480,7882
48520,7883
48560,7884
48600,7885
48640,7887
48680,7888
48720,7889
48760,7891
48800,7892
48840,7893
48880,7894
48920,7894
48960,7895
49000,7895
49040,7895
49080,7894
49120,7893
49160,7893
49200,7892
49240,7891
49280,7889
49320,7888
49360,7887
49400,7886
49440,7884
49480,7883
49520,7882
49560,7881
49600,7880
49640,7880
49680,7879
49720,7878
49760,7878
49800,7877
49840,7876
49880,7876
49920,7875
49960,7875
50000,7874
50040,7874
50080,7874
50120,7874
50160,7873
50200,7873
50240,7873
50280,7873
50320,7873
