Time,Signal
0,0
40,0
80,0
120,0
160,0
200,0
240,0
280,0
320,0
360,0
400,0
440,0
480,0
520,0
560,0
600,0
640,0
680,0
720,0
760,0
800,0
840,3276
880,3278
920,3281
960,3283
1000,3285
1040,3288
1080,3290
1120,3292
1160,3295
1200,3297
1240,3299
1280,3301
1320,3304
1360,3306
1400,3308
1440,3311
1480,3313
1520,3315
1560,3318
1600,3320
1640,3322
1680,3324
1720,3327
1760,3329
1800,3331
1840,3334
1880,3336
1920,3338
1960,3340
2000,3343
2040,3345
2080,3347
2120,3350
2160,3352
2200,3354
2240,3357
2280,3359
2320,3361
2360,3363
2400,3366
2440,3368
2480,3370
2520,3373
2560,3375
2600,3377
2640,3379
2680,3382
2720,3384
2760,3386
2800,3389
2840,3391
2880,3393
2920,3396
2960,3398
3000,3400
3040,3402
3080,3405
3120,3407
3160,3409
3200,3412
3240,3414
3280,3416
3320,3418
3360,3421
3400,3423
3440,3425
3480,3428
3520,3430
3560,3432
3600,3435
3640,3437
3680,3439
3720,3441
3760,3444
3800,3446
3840,3448
3880,3451
3920,3453
3960,3455
4000,3457
4040,3460
4080,3462
4120,3464
4160,3467
4200,3469
4240,3471
4280,3474
4320,3476
4360,3478
4400,3480
4440,3483
4480,3485
4520,3487
4560,3490
4600,3492
4640,3494
4680,3497
4720,3499
4760,3501
4800,3503
4840,3506
4880,3508
4920,3510
4960,3513
5000,3515
5040,3517
5080,3519
5120,3522
5160,3524
5200,3526
5240,3529
5280,3531
5320,3533
5360,3536
5400,3538
5440,3540
5480,3542
5520,3545
5560,3547
5600,3549
5640,3552
5680,3554
5720,3556
5760,3558
5800,3561
5840,3563
5880,3565
5920,3568
5960,3570
6000,3572
6040,3575
6080,3577
6120,3579
6160,3581
6200,3584
6240,3586
6280,3588
6320,3591
6360,3593
6400,3595
6440,3597
6480,3600
6520,3602
6560,3604
6600,3607
6640,3609
6680,3611
6720,3614
6760,3616
6800,3618
6840,3620
6880,3623
6920,3625
6960,3627
7000,3630
7040,3632
7080,3634
7120,3636
7160,3639
7200,3641
7240,3643
7280,3646
7320,3648
7360,3650
7400,3653
7440,3655
7480,3657
7520,3659
7560,3662
7600,3664
7640,3666
7680,3669
7720,3671
7760,3673
7800,3675
7840,3678
7880,3680
7920,3682
7960,3685
8000,3687
8040,3689
8080,3692
8120,3694
8160,3696
8200,3698
8240,3701
8280,3703
8320,3705
8360,3708
8400,3710
8440,3712
8480,3715
8520,3717
8560,3719
8600,3721
8640,3724
8680,3726
8720,3728
8760,3731
8800,3733
8840,3735
8880,3737
8920,3740
8960,3742
9000,3744
9040,3747
9080,3749
9120,3751
9160,3754
9200,3756
9240,3758
9280,3760
9320,3763
9360,3765
9400,3767
9440,3770
9480,3772
9520,3774
9560,3776
9600,3779
9640,3781
9680,3783
9720,3786
9760,3788
9800,3790
9840,3793
9880,3795
9920,3797
9960,3799
10000,3802
10040,3804
10080,3806
10120,3809
10160,3811
10200,3813
10240,3815
10280,3818
10320,3820
10360,3822
10400,3825
10440,3827
10480,3829
10520,3832
10560,3834
10600,3836
10640,3838
10680,3841
10720,3843
10760,3845
10800,3848
10840,3850
10880,3852
10920,3854
10960,3857
11000,3859
11040,3861
11080,3864
11120,3866
11160,3868
11200,3871
11240,3873
11280,3875
11320,3877
11360,3880
11400,3882
11440,3884
11480,3887
11520,3889
11560,3891
11600,3893
11640,3896
11680,3898
11720,3900
11760,3903
11800,3905
11840,3907
11880,3910
11920,3912
11960,3914
12000,3916
12040,3919
12080,3921
12120,3923
12160,3926
12200,3928
12240,3930
12280,3933
12320,3935
12360,3937
12400,3939
12440,3942
12480,3944
12520,3946
12560,3949
12600,3951
12640,3953
12680,3955
12720,3958
12760,3960
12800,3962
12840,3965
12880,3967
12920,3969
12960,3972
13000,3974
13040,3976
13080,3978
13120,3981
13160,3983
13200,3985
13240,3988
13280,3990
13320,3992
13360,3994
13400,3997
13440,3999
13480,4001
13520,4004
13560,4006
13600,4008
13640,4011
13680,4013
13720,4015
13760,4017
13800,4020
13840,4022
13880,4024
13920,4027
13960,4029
14000,4031
14040,4033
14080,4036
14120,4038
14160,4040
14200,4043
14240,4045
14280,4047
14320,4050
14360,4052
14400,4054
14440,4056
14480,4059
14520,4061
14560,4063
14600,4066
14640,4068
14680,4070
14720,4072
14760,4075
14800,4077
14840,4079
14880,4082
14920,4084
14960,4086
15000,4089
15040,4091
15080,4093
15120,4095
15160,4098
15200,4100
15240,4102
15280,4105
15320,4107
15360,4109
15400,4112
15440,4114
15480,4116
15520,4118
15560,4121
15600,4123
15640,4125
15680,4128
15720,4130
15760,4132
15800,4134
15840,4137
15880,4139
15920,4141
15960,4144
16000,4146
16040,4148
16080,4151
16120,4153
16160,4155
16200,4157
16240,4160
16280,4162
16320,4164
16360,4167
16400,4169
16440,4171
16480,4173
16520,4176
16560,4178
16600,4180
16640,4183
16680,4185
16720,4187
16760,4190
16800,4192
16840,4194
16880,4196
16920,4199
16960,4201
17000,4203
17040,4206
17080,4208
17120,4210
17160,4212
17200,4215
17240,4217
17280,4219
17320,4222
17360,4224
17400,4226
17440,4229
17480,4231
17520,4233
17560,4235
17600,4238
17640,4240
17680,4242
17720,4245
17760,4247
17800,4249
17840,4251
17880,4254
17920,4256
17960,4258
18000,4261
18040,4263
18080,4265
18120,4268
18160,4270
18200,4272
18240,4274
18280,4277
18320,4279
18360,4281
18400,4284
18440,4286
18480,4288
18520,4290
18560,4293
18600,4295
18640,4297
18680,4300
18720,4302
18760,4304
18800,4307
18840,4309
18880,4311
18920,4313
18960,4316
19000,4318
19040,4320
19080,4323
19120,4325
19160,4327
19200,4330
19240,4332
19280,4334
19320,4336
19360,4339
19400,4341
19440,4343
19480,4346
19520,4348
19560,4350
19600,4352
19640,4355
19680,4357
19720,4359
19760,4362
19800,4364
19840,4366
19880,4369
19920,4371
19960,4373
20000,4375
20040,4378
20080,4380
20120,4382
20160,4385
20200,4387
20240,4389
20280,4391
20320,4394
20360,4396
20400,4398
20440,4401
20480,4403
20520,4405
20560,4408
20600,4410
20640,4412
20680,4414
20720,4417
20760,4419
20800,4421
20840,4424
20880,4426
20920,4428
20960,4430
21000,4433
21040,4435
21080,4437
21120,4440
21160,4442
21200,4444
21240,4447
21280,4449
21320,4451
21360,4453
21400,4456
21440,4458
21480,4460
21520,4463
21560,4465
21600,4467
21640,4469
21680,4472
21720,4474
21760,4476
21800,4479
21840,4481
21880,4483
21920,4486
21960,4488
22000,4490
22040,4492
22080,4495
22120,4497
22160,4499
22200,4502
22240,4504
22280,4506
22320,4509
22360,4511
22400,4513
22440,4515
22480,4518
22520,4520
22560,4522
22600,4525
22640,4527
22680,4529
22720,4531
22760,4534
22800,4536
22840,4538
22880,4541
22920,4543
22960,4545
23000,4548
23040,4550
23080,4552
23120,4554
23160,4557
23200,4559
23240,4561
23280,4564
23320,4566
23360,4568
23400,4570
23440,4573
23480,4575
23520,4577
23560,4580
23600,4582
23640,4584
23680,4587
23720,4589
23760,4591
23800,4593
23840,4596
23880,4598
23920,4600
23960,4603
24000,4605
24040,4607
24080,4609
24120,4612
24160,4614
24200,4616
24240,4619
24280,4621
24320,4623
24360,4626
24400,4628
24440,4630
24480,4632
24520,4635
24560,4637
24600,4639
24640,4642
24680,4644
24720,4646
24760,4648
24800,4651
24840,4653
24880,4655
24920,4658
24960,4660
25000,4662
25040,4665
25080,4667
25120,4669
25160,4671
25200,4674
25240,4676
25280,4678
25320,4681
25360,4683
25400,4685
25440,4687
25480,4690
25520,4692
25560,4694
25600,4697
25640,4699
25680,4701
25720,4704
25760,4706
25800,4708
25840,4710
25880,4713
25920,4715
25960,4717
26000,4720
26040,4722
26080,4724
26120,4727
26160,4729
26200,4731
26240,4733
26280,4736
26320,4738
26360,4740
26400,4743
26440,4745
26480,4747
26520,4749
26560,4752
26600,4754
26640,4756
26680,4759
26720,4761
26760,4763
26800,4766
26840,4768
26880,4770
26920,4772
26960,4775
27000,4777
27040,4779
27080,4782
27120,4784
27160,4786
27200,4788
27240,4791
27280,4793
27320,4795
27360,4798
27400,4800
27440,4802
27480,4805
27520,4807
27560,4809
27600,4811
27640,4814
27680,4816
27720,4818
27760,4821
27800,4823
27840,4825
27880,4827
27920,4830
27960,4832
28000,4834
28040,4837
28080,4839
28120,4841
28160,4844
28200,4846
28240,4848
28280,4850
28320,4853
28360,4855
28400,4857
28440,4860
28480,4862
28520,4864
28560,4866
28600,4869
28640,4871
28680,4873
28720,4876
28760,4878
28800,4880
28840,4883
28880,4885
28920,4887
28960,4889
29000,4892
29040,4894
29080,4896
29120,4899
29160,4901
29200,4903
29240,4906
29280,4908
29320,4910
29360,4912
29400,4915
29440,4917
29480,4919
29520,4922
29560,4924
29600,4926
29640,4928
29680,4931
29720,4933
29760,4935
29800,4938
29840,4940
29880,4942
29920,4945
29960,4947
30000,4949
30040,4951
30080,4954
30120,4956
30160,4958
30200,4961
30240,4963
30280,4965
30320,4967
30360,4970
30400,4972
30440,4974
30480,4977
30520,4979
30560,4981
30600,4984
30640,4986
30680,4988
30720,4990
30760,4993
30800,4995
30840,4997
30880,4997
30920,4997
30960,4997
31000,4997
31040,4996
31080,4996
31120,4996
31160,4996
31200,4996
31240,4995
31280,4995
31320,4995
31360,4995
31400,4995
31440,4994
31480,4994
31520,4994
31560,4994
31600,4994
31640,4993
31680,4993
31720,4993
31760,4993
31800,4993
31840,4993
31880,4992
31920,4992
31960,4992
32000,4992
32040,4992
32080,4991
32120,4991
32160,4991
32200,4991
32240,4991
32280,4990
32320,4990
32360,4990
32400,4990
32440,4990
32480,4989
32520,4989
32560,4989
32600,4989
32640,4989
32680,4988
32720,4988
32760,4988
32800,4988
32840,4988
32880,4988
32920,4987
32960,4987
33000,4987
33040,4987
33080,4987
33120,4986
33160,4986
33200,4986
33240,4986
33280,4986
33320,4985
33360,4985
33400,4985
33440,4985
33480,4985
33520,4984
33560,4984
33600,4984
33640,4984
33680,4984
33720,4983
33760,4983
33800,4983
33840,4983
33880,4983
33920,4983
33960,4982
34000,4982
34040,4982
34080,4982
34120,4982
34160,4981
34200,4981
34240,4981
34280,4981
34320,4981
34360,4980
34400,4980
34440,4980
34480,4980
34520,4980
34560,4979
34600,4979
34640,4979
34680,4979
34720,4979
34760,4979
34800,4978
34840,4978
34880,4978
34920,4978
34960,4978
35000,4977
35040,4977
35080,4977
35120,4977
35160,4977
35200,4976
35240,4976
35280,4976
35320,4976
35360,4976
35400,4975
35440,4975
35480,4975
35520,4975
35560,4975
35600,4974
35640,4974
35680,4974
35720,4974
35760,4974
35800,4974
35840,4973
35880,4973
35920,4973
35960,4973
36000,4973
36040,4972
36080,4972
36120,4972
36160,4972
36200,4972
36240,4971
36280,4971
36320,4971
36360,4971
36400,4971
36440,4970
36480,4970
36520,4970
36560,4970
36600,4970
36640,4970
36680,4969
36720,4969
36760,4969
36800,4969
36840,4969
36880,4968
36920,4968
36960,4968
37000,4968
37040,4968
37080,4967
37120,4967
37160,4967
37200,4967
37240,4967
37280,4966
37320,4966
37360,4966
37400,4966
37440,4966
37480,4965
37520,4965
37560,4965
37600,4965
37640,4965
37680,4965
37720,4964
37760,4964
37800,4964
37840,4964
37880,4964
37920,4963
37960,4963
38000,4963
38040,4963
38080,4963
38120,4962
38160,4962
38200,4962
38240,4962
38280,4962
38320,4961
38360,4961
38400,4961
38440,4961
38480,4961
38520,4961
38560,4960
38600,4960
38640,4960
38680,4960
38720,4960
38760,4959
38800,4959
38840,4959
38880,4959
38920,4959
38960,4958
39000,4958
39040,4958
39080,4958
39120,4958
39160,4957
39200,4957
39240,4957
39280,4957
39320,4957
39360,4956
39400,4956
39440,4956
39480,4956
39520,4956
39560,4956
39600,4955
39640,4955
39680,4955
39720,4955
39760,4955
39800,4954
39840,4954
39880,4954
39920,4954
39960,4954
40000,4953
40040,4953
40080,4953
40120,4953
40160,4953
40200,4952
40240,4952
40280,4952
40320,4952
40360,4952
40400,4951
40440,4951
40480,4951
40520,4951
40560,4951
40600,4951
40640,4950
40680,4950
40720,4950
40760,4950
40800,4950
40840,4949
40880,4949
40920,4949
40960,4949
41000,4949
41040,4948
41080,4948
41120,4948
41160,4948
41200,4948
41240,4947
41280,4947
41320,4947
41360,4947
41400,4947
41440,4947
41480,4946
41520,4946
41560,4946
41600,4946
41640,4946
41680,4945
41720,4945
41760,4945
41800,4945
41840,4945
41880,4944
41920,4944
41960,4944
42000,4944
42040,4944
42080,4943
42120,4943
42160,4943
42200,4943
42240,4943
42280,4942
42320,4942
42360,4942
42400,4942
42440,4942
42480,4942
42520,4941
42560,4941
42600,4941
42640,4941
42680,4941
42720,4940
42760,4940
42800,4940
42840,4940
42880,4940
42920,4939
42960,4939
43000,4939
43040,4939
43080,4939
43120,4938
43160,4938
43200,4938
43240,4938
43280,4938
43320,4938
43360,4937
43400,4937
43440,4937
43480,4937
43520,4937
43560,4936
43600,4936
43640,4936
43680,4936
43720,4936
43760,4935
43800,4935
43840,4935
43880,4935
43920,4935
43960,4934
44000,4934
44040,4934
44080,4934
44120,4934
44160,4933
44200,4933
44240,4933
44280,4933
44320,4933
44360,4933
44400,4932
44440,4932
44480,4932
44520,4932
44560,4932
44600,4931
44640,4931
44680,4931
44720,4931
44760,4931
44800,4930
44840,4930
44880,4930
44920,4930
44960,4930
45000,4929
45040,4929
45080,4929
45120,4929
45160,4929
45200,4928
45240,4928
45280,4928
45320,4928
45360,4928
45400,4928
45440,4927
45480,4927
45520,4927
45560,4927
45600,4927
45640,4926
45680,4926
45720,4926
45760,4926
45800,4926
45840,4925
45880,4925
45920,4925
45960,4925
46000,4925
46040,4924
46080,4924
46120,4924
46160,4924
46200,4924
46240,4924
46280,4923
46320,4923
46360,4923
46400,4923
46440,4923
46480,4922
46520,4922
46560,4922
46600,4922
46640,4922
46680,4921
46720,4921
46760,4921
46800,4921
46840,4921
46880,4920
46920,4920
46960,4920
47000,4920
47040,4920
47080,4919
47120,4919
47160,4919
47200,4919
47240,4919
47280,4919
47320,4918
47360,4918
47400,4918
47440,4918
47480,4918
47520,4917
47560,4917
47600,4917
47640,4917
47680,4917
47720,4916
47760,4916
47800,4916
47840,4916
47880,4916
47920,4915
47960,4915
48000,4915
48040,4915
48080,4915
48120,4915
48160,4914
48200,4914
48240,4914
48280,4914
48320,4914
48360,4913
48400,4913
48440,4913
48480,4913
48520,4913
48560,4912
48600,4912
48640,4912
48680,4912
48720,4912
48760,4911
48800,4911
48840,4911
48880,4911
48920,4911
48960,4910
49000,4910
49040,4910
49080,4910
49120,4910
49160,4910
49200,4909
49240,4909
49280,4909
49320,4909
49360,4909
49400,4908
49440,4908
49480,4908
49520,4908
49560,4908
49600,4907
49640,4907
49680,4907
49720,4907
49760,4907
49800,4906
49840,4906
49880,4906
49920,4906
49960,4906
50000,4906
50040,4905
50080,4905
50120,4905
50160,4905
50200,4905
50240,4904
50280,4904
50320,4904
