Time,Signal
0,0
40,0
80,0
120,0
160,0
200,0
240,0
280,0
320,0
360,0
400,0
440,0
480,0
520,0
560,0
600,0
640,0
680,0
720,0
760,0
800,0
840,-71
880,-109
920,-135
960,-145
1000,-134
1040,-103
1080,-49
1120,25
1160,118
1200,225
1240,341
1280,458
1320,569
1360,664
1400,734
1440,768
1480,758
1520,694
1560,565
1600,366
1640,96
1680,-249
1720,-667
1760,-1155
1800,-1707
1840,-2314
1880,-2965
1920,-3647
1960,-4346
2000,-5045
2040,-5728
2080,-6379
2120,-6983
2160,-7526
2200,-7996
2240,-8386
2280,-8687
2320,-8897
2360,-9015
2400,-9045
2440,-8992
2480,-8864
2520,-8674
2560,-8431
2600,-8150
2640,-7844
2680,-7527
2720,-7211
2760,-6906
2800,-6622
2840,-6367
2880,-6145
2920,-5959
2960,-5809
3000,-5690
3040,-5601
3080,-5533
3120,-5478
3160,-5430
3200,-5379
3240,-5316
3280,-5234
3320,-5125
3360,-4983
3400,-4804
3440,-4584
3480,-4324
3520,-4024
3560,-3687
3600,-3317
3640,-2920
3680,-2505
3720,-2079
3760,-1652
3800,-1232
3840,-831
3880,-457
3920,-119
3960,172
4000,409
4040,583
4080,689
4120,725
4160,689
4200,580
4240,399
4280,148
4320,-166
4360,-539
4400,-964
4440,-1430
4480,-1929
4520,-2450
4560,-2983
4600,-3515
4640,-4035
4680,-4532
4720,-4998
4760,-5422
4800,-5797
4840,-6118
4880,-6378
4920,-6576
4960,-6710
5000,-6781
5040,-6792
5080,-6747
5120,-6652
5160,-6512
5200,-6338
5240,-6135
5280,-5914
5320,-5682
5360,-5448
5400,-5219
5440,-5002
5480,-4803
5520,-4624
5560,-4470
5600,-4339
5640,-4233
5680,-4148
5720,-4082
5760,-4031
5800,-3987
5840,-3946
5880,-3901
5920,-3845
5960,-3774
6000,-3679
6040,-3559
6080,-3408
6120,-3224
6160,-3005
6200,-2752
6240,-2465
6280,-2147
6320,-1801
6360,-1433
6400,-1048
6440,-653
6480,-255
6520,140
6560,522
6600,884
6640,1219
6680,1520
6720,1779
6760,1991
6800,2150
6840,2252
6880,2294
6920,2273
6960,2189
7000,2039
7040,1827
7080,1552
7120,1219
7160,834
7200,401
7240,-72
7280,-578
7320,-1109
7360,-1656
7400,-2208
7440,-2756
7480,-3291
7520,-3802
7560,-4281
7600,-4719
7640,-5110
7680,-5447
7720,-5725
7760,-5941
7800,-6092
7840,-6179
7880,-6202
7920,-6164
7960,-6070
8000,-5924
8040,-5734
8080,-5506
8120,-5248
8160,-4968
8200,-4674
8240,-4374
8280,-4075
8320,-3785
8360,-3509
8400,-3253
8440,-3021
8480,-2816
8520,-2640
8560,-2494
8600,-2377
8640,-2290
8680,-2229
8720,-2193
8760,-2177
8800,-2177
8840,-2190
8880,-2211
8920,-2236
8960,-2259
9000,-2275
9040,-2281
9080,-2271
9120,-2242
9160,-2189
9200,-2110
9240,-2004
9280,-1867
9320,-1699
9360,-1500
9400,-1271
9440,-1013
9480,-728
9520,-420
9560,-92
9600,251
9640,606
9680,965
9720,1323
9760,1674
9800,2011
9840,2328
9880,2618
9920,2875
9960,3093
10000,3267
10040,3392
10080,3465
10120,3483
10160,3442
10200,3344
10240,3187
10280,2974
10320,2705
10360,2386
10400,2020
10440,1614
10480,1173
10520,706
10560,219
10600,-279
10640,-781
10680,-1278
10720,-1763
10760,-2226
10800,-2664
10840,-3071
10880,-3440
10920,-3768
10960,-4053
11000,-4293
11040,-4486
11080,-4635
11120,-4739
11160,-4802
11200,-4826
11240,-4815
11280,-4770
11320,-4698
11360,-4600
11400,-4482
11440,-4346
11480,-4195
11520,-4033
11560,-3862
11600,-3683
11640,-3499
11680,-3311
11720,-3121
11760,-2930
11800,-2742
11840,-2557
11880,-2376
11920,-2203
11960,-2039
12000,-1885
12040,-1745
12080,-1618
12120,-1506
12160,-1412
12200,-1334
12240,-1273
12280,-1226
12320,-1194
12360,-1173
12400,-1160
12440,-1151
12480,-1142
12520,-1128
12560,-1105
12600,-1067
12640,-1010
12680,-930
12720,-825
12760,-691
12800,-528
12840,-333
12880,-109
12920,144
12960,423
13000,723
13040,1040
13080,1369
13120,1704
13160,2038
13200,2363
13240,2675
13280,2964
13320,3224
13360,3450
13400,3635
13440,3773
13480,3861
13520,3894
13560,3869
13600,3787
13640,3645
13680,3444
13720,3186
13760,2874
13800,2511
13840,2103
13880,1657
13920,1179
13960,676
14000,158
14040,-367
14080,-890
14120,-1402
14160,-1894
14200,-2355
14240,-2778
14280,-3156
14320,-3483
14360,-3755
14400,-3967
14440,-4118
14480,-4207
14520,-4237
14560,-4209
14600,-4129
14640,-4003
14680,-3836
14720,-3638
14760,-3417
14800,-3181
14840,-2937
14880,-2696
14920,-2464
14960,-2247
15000,-2051
15040,-1879
15080,-1734
15120,-1618
15160,-1529
15200,-1466
15240,-1426
15280,-1405
15320,-1398
15360,-1399
15400,-1401
15440,-1400
15480,-1389
15520,-1361
15560,-1314
15600,-1242
15640,-1142
15680,-1014
15720,-855
15760,-666
15800,-448
15840,-203
15880,64
15920,351
15960,653
16000,965
16040,1282
16080,1598
16120,1907
16160,2206
16200,2488
16240,2749
16280,2985
16320,3190
16360,3363
16400,3499
16440,3595
16480,3649
16520,3657
16560,3619
16600,3533
16640,3398
16680,3214
16720,2983
16760,2706
16800,2386
16840,2025
16880,1629
16920,1202
16960,750
17000,280
17040,-201
17080,-684
17120,-1162
17160,-1627
17200,-2071
17240,-2486
17280,-2865
17320,-3201
17360,-3490
17400,-3725
17440,-3907
17480,-4033
17520,-4104
17560,-4120
17600,-4085
17640,-4004
17680,-3881
17720,-3721
17760,-3533
17800,-3322
17840,-3096
17880,-2862
17920,-2627
17960,-2396
18000,-2174
18040,-1967
18080,-1778
18120,-1609
18160,-1463
18200,-1340
18240,-1241
18280,-1165
18320,-1107
18360,-1068
18400,-1043
18440,-1028
18480,-1020
18520,-1011
18560,-1001
18600,-981
18640,-950
18680,-902
18720,-832
18760,-738
18800,-619
18840,-475
18880,-307
18920,-116
18960,95
19000,328
19040,581
19080,850
19120,1131
19160,1418
19200,1709
19240,2005
19280,2305
19320,2608
19360,2913
19400,3217
19440,3518
19480,3814
19520,4101
19560,4377
19600,4634
19640,4864
19680,5058
19720,5200
19760,5275
19800,5263
19840,5146
19880,4903
19920,4514
19960,3960
20000,3222
20040,2289
20080,1153
20120,-189
20160,-1729
20200,-3453
20240,-5340
20280,-7361
20320,-9479
20360,-11650
20400,-13824
20440,-15948
20480,-17965
20520,-19822
20560,-21467
20600,-22854
20640,-23941
20680,-24697
20720,-25099
20760,-25137
20800,-24812
20840,-24137
20880,-23135
20920,-21842
20960,-20297
21000,-18550
21040,-16655
21080,-14669
21120,-12646
21160,-10640
21200,-8701
21240,-6871
21280,-5188
21320,-3677
21360,-2357
21400,-1236
21440,-312
21480,422
21520,983
21560,1392
21600,1676
21640,1862
21680,1980
21720,2058
21760,2124
21800,2199
21840,2301
21880,2446
21920,2641
21960,2889
22000,3189
22040,3535
22080,3918
22120,4323
22160,4737
22200,5143
22240,5525
22280,5868
22320,6156
22360,6378
22400,6527
22440,6592
22480,6569
22520,6458
22560,6262
22600,5982
22640,5628
22680,5207
22720,4729
22760,4207
22800,3653
22840,3081
22880,2507
22920,1943
22960,1404
23000,899
23040,432
23080,13
23120,-349
23160,-647
23200,-881
23240,-1052
23280,-1167
23320,-1231
23360,-1249
23400,-1226
23440,-1172
23480,-1095
23520,-1004
23560,-907
23600,-813
23640,-727
23680,-656
23720,-605
23760,-576
23800,-568
23840,-583
23880,-618
23920,-671
23960,-735
24000,-801
24040,-862
24080,-912
24120,-942
24160,-944
24200,-911
24240,-834
24280,-706
24320,-522
24360,-277
24400,31
24440,405
24480,846
24520,1354
24560,1927
24600,2567
24640,3272
24680,4041
24720,4869
24760,5752
24800,6684
24840,7660
24880,8677
24920,9727
24960,10800
25000,11888
25040,12982
25080,14069
25120,15140
25160,16182
25200,17183
25240,18129
25280,19006
25320,19800
25360,20496
25400,21082
25440,21547
25480,21882
25520,22077
25560,22125
25600,22024
25640,21769
25680,21361
25720,20802
25760,20097
25800,19252
25840,18273
25880,17169
25920,15949
25960,14625
26000,13209
26040,11712
26080,10145
26120,8522
26160,6857
26200,5162
26240,3451
26280,1738
26320,40
26360,-1632
26400,-3263
26440,-4835
26480,-6334
26520,-7745
26560,-9056
26600,-10250
26640,-11313
26680,-12236
26720,-13010
26760,-13627
26800,-14081
26840,-14369
26880,-14494
26920,-14459
26960,-14274
27000,-13950
27040,-13495
27080,-12926
27120,-12264
27160,-11528
27200,-10740
27240,-9922
27280,-9090
27320,-8263
27360,-7456
27400,-6685
27440,-5961
27480,-5293
27520,-4688
27560,-4150
27600,-3677
27640,-3269
27680,-2923
27720,-2633
27760,-2391
27800,-2193
27840,-2026
27880,-1888
27920,-1768
27960,-1661
28000,-1564
28040,-1472
28080,-1385
28120,-1301
28160,-1221
28200,-1148
28240,-1085
28280,-1034
28320,-998
28360,-979
28400,-979
28440,-998
28480,-1037
28520,-1094
28560,-1166
28600,-1251
28640,-1344
28680,-1442
28720,-1534
28760,-1616
28800,-1681
28840,-1720
28880,-1730
28920,-1705
28960,-1640
29000,-1533
29040,-1384
29080,-1190
29120,-954
29160,-683
29200,-386
29240,-69
29280,260
29320,590
29360,914
29400,1220
29440,1497
29480,1739
29520,1939
29560,2092
29600,2193
29640,2238
29680,2225
29720,2157
29760,2038
29800,1876
29840,1677
29880,1451
29920,1209
29960,963
30000,722
30040,500
30080,307
30120,156
30160,52
30200,2
30240,13
30280,87
30320,225
30360,426
30400,687
30440,1002
30480,1363
30520,1763
30560,2190
30600,2634
30640,3084
30680,3527
30720,3954
30760,4354
30800,4718
30840,5036
30880,5302
30920,5510
30960,5655
31000,5736
31040,5751
31080,5702
31120,5590
31160,5421
31200,5200
31240,4934
31280,4629
31320,4290
31360,3926
31400,3542
31440,3146
31480,2746
31520,2345
31560,1949
31600,1560
31640,1182
31680,820
31720,474
31760,148
31800,-157
31840,-440
31880,-700
31920,-936
31960,-1149
32000,-1338
32040,-1502
32080,-1639
32120,-1751
32160,-1836
32200,-1895
32240,-1927
32280,-1934
32320,-1918
32360,-1879
32400,-1821
32440,-1747
32480,-1659
32520,-1563
32560,-1461
32600,-1359
32640,-1262
32680,-1175
32720,-1102
32760,-1045
32800,-1007
32840,-990
32880,-996
32920,-1021
32960,-1067
33000,-1128
33040,-1201
33080,-1284
33120,-1369
33160,-1448
33200,-1513
33240,-1557
33280,-1572
33320,-1552
33360,-1491
33400,-1384
33440,-1229
33480,-1027
33520,-780
33560,-492
33600,-167
33640,188
33680,567
33720,956
33760,1343
33800,1718
33840,2066
33880,2377
33920,2639
33960,2841
34000,2979
34040,3043
34080,3030
34120,2940
34160,2774
34200,2538
34240,2236
34280,1878
34320,1474
34360,1035
34400,573
34440,100
34480,-370
34520,-827
34560,-1258
34600,-1655
34640,-2009
34680,-2315
34720,-2568
34760,-2767
34800,-2912
34840,-3002
34880,-3042
34920,-3035
34960,-2987
35000,-2903
35040,-2789
35080,-2652
35120,-2497
35160,-2331
35200,-2158
35240,-1984
35280,-1811
35320,-1643
35360,-1483
35400,-1333
35440,-1195
35480,-1069
35520,-956
35560,-856
35600,-769
35640,-697
35680,-639
35720,-596
35760,-569
35800,-556
35840,-557
35880,-571
35920,-598
35960,-635
36000,-681
36040,-734
36080,-789
36120,-844
36160,-893
36200,-933
36240,-959
36280,-965
36320,-949
36360,-906
36400,-835
36440,-731
36480,-595
36520,-425
36560,-225
36600,3
36640,256
36680,527
36720,810
36760,1098
36800,1383
36840,1654
36880,1906
36920,2127
36960,2311
37000,2451
37040,2542
37080,2577
37120,2555
37160,2475
37200,2337
37240,2144
37280,1900
37320,1611
37360,1283
37400,926
37440,548
37480,160
37520,-230
37560,-611
37600,-975
37640,-1313
37680,-1618
37720,-1884
37760,-2107
37800,-2283
37840,-2411
37880,-2492
37920,-2527
37960,-2520
38000,-2475
38040,-2397
38080,-2294
38120,-2170
38160,-2034
38200,-1891
38240,-1746
38280,-1607
38320,-1477
38360,-1359
38400,-1253
38440,-1161
38480,-1081
38520,-1012
38560,-949
38600,-887
38640,-823
38680,-750
38720,-662
38760,-554
38800,-421
38840,-261
38880,-73
38920,144
38960,389
39000,659
39040,949
39080,1251
39120,1556
39160,1855
39200,2137
39240,2393
39280,2611
39320,2780
39360,2895
39400,2945
39440,2929
39480,2842
39520,2684
39560,2458
39600,2170
39640,1827
39680,1439
39720,1018
39760,577
39800,128
39840,-314
39880,-736
39920,-1127
39960,-1475
40000,-1773
40040,-2014
40080,-2195
40120,-2314
40160,-2373
40200,-2376
40240,-2329
40280,-2240
40320,-2117
40360,-1968
40400,-1806
40440,-1637
40480,-1473
40520,-1320
40560,-1185
40600,-1072
40640,-984
40680,-922
40720,-884
40760,-869
40800,-874
40840,-892
40880,-920
40920,-951
40960,-981
41000,-1004
41040,-1017
41080,-1015
41120,-996
41160,-959
41200,-905
41240,-836
41280,-752
41320,-658
41360,-557
41400,-454
41440,-354
41480,-262
41520,-183
41560,-120
41600,-76
41640,-53
41680,-53
41720,-75
41760,-118
41800,-179
41840,-255
41880,-339
41920,-428
41960,-512
42000,-586
42040,-643
42080,-673
42120,-673
42160,-636
42200,-557
42240,-432
42280,-260
42320,-39
42360,228
42400,538
42440,886
42480,1264
42520,1662
42560,2072
42600,2481
42640,2877
42680,3248
42720,3580
42760,3863
42800,4084
42840,4236
42880,4312
42920,4307
42960,4216
43000,4040
43040,3782
43080,3446
43120,3041
43160,2575
43200,2059
43240,1508
43280,934
43320,351
43360,-225
43400,-782
43440,-1307
43480,-1790
43520,-2220
43560,-2591
43600,-2897
43640,-3134
43680,-3302
43720,-3401
43760,-3435
43800,-3408
43840,-3326
43880,-3197
43920,-3027
43960,-2826
44000,-2600
44040,-2360
44080,-2113
44120,-1865
44160,-1624
44200,-1394
44240,-1181
44280,-988
44320,-817
44360,-671
44400,-551
44440,-458
44480,-389
44520,-345
44560,-323
44600,-323
44640,-341
44680,-374
44720,-420
44760,-474
44800,-533
44840,-592
44880,-647
44920,-693
44960,-725
45000,-741
45040,-734
45080,-702
45120,-642
45160,-550
45200,-424
45240,-264
45280,-70
45320,156
45360,411
45400,692
45440,993
45480,1309
45520,1633
45560,1956
45600,2270
45640,2566
45680,2835
45720,3068
45760,3258
45800,3397
45840,3480
45880,3501
45920,3458
45960,3349
46000,3175
46040,2937
46080,2639
46120,2289
46160,1893
46200,1462
46240,1003
46280,528
46320,48
46360,-427
46400,-885
46440,-1317
46480,-1713
46520,-2065
46560,-2368
46600,-2616
46640,-2807
46680,-2939
46720,-3013
46760,-3033
46800,-3000
46840,-2922
46880,-2804
46920,-2654
46960,-2480
47000,-2290
47040,-2091
47080,-1893
47120,-1700
47160,-1519
47200,-1354
47240,-1209
47280,-1085
47320,-983
47360,-900
47400,-836
47440,-785
