Time,Signal
0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,0
640,0
650,0
660,0
670,0
680,0
690,0
700,0
710,0
720,0
730,0
740,0
750,0
760,0
770,0
780,0
790,0
800,0
810,0
820,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
990,0
1000,0
1010,0
1020,0
1030,0
1040,0
1050,0
1060,0
1070,0
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,0
1150,0
1160,0
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
1440,0
1450,0
1460,0
1470,0
1480,0
1490,0
1500,0
1510,0
1520,0
1530,0
1540,0
1550,0
1560,0
1570,0
1580,0
1590,0
1600,0
1610,0
1620,0
1630,0
1640,0
1650,0
1660,0
1670,0
1680,0
1690,0
1700,0
1710,-9
1720,-9
1730,18
1740,90
1750,199
1760,281
1770,233
1780,167
1790,85
1800,97
1810,56
1820,-6
1830,-48
1840,-30
1850,-19
1860,-13
1870,-53
1880,-80
1890,-35
1900,-39
1910,-7
1920,-43
1930,-18
1940,22
1950,-14
1960,-7
1970,-29
1980,-48
1990,-49
2000,-2
2010,-4
2020,10
2030,-14
2040,16
2050,50
2060,20
2070,4
2080,9
2090,11
2100,-56
2110,-34
2120,7
2130,-13
2140,-23
2150,-17
2160,29
2170,39
2180,-2
2190,-7
2200,11
2210,10
2220,30
2230,5
2240,22
2250,-21
2260,9
2270,-2
2280,-35
2290,-31
2300,-22
2310,-18
2320,-1
2330,-36
2340,-59
2350,11
2360,17
2370,-23
2380,-9
2390,-7
2400,24
2410,22
2420,36
2430,54
2440,80
2450,57
2460,17
2470,43
2480,23
2490,19
2500,-7
2510,-58
2520,-19
2530,-13
2540,-38
2550,-64
2560,-13
2570,-58
2580,-34
2590,-46
2600,-42
2610,-4
2620,-13
2630,40
2640,68
2650,83
2660,49
2670,3
2680,30
2690,60
2700,38
2710,-17
2720,-49
2730,-3
2740,-50
2750,-22
2760,-32
2770,11
2780,-67
2790,-20
2800,-35
2810,-30
2820,10
2830,-30
2840,13
2850,10
2860,26
2870,-13
2880,40
2890,50
2900,26
2910,-20
2920,45
2930,-43
2940,-9
2950,-13
2960,18
2970,-56
2980,-4
2990,-27
3000,-1
3010,9
3020,20
3030,2
3040,13
3050,16
3060,5
3070,6
3080,10
3090,70
3100,55
3110,58
3120,34
3130,3
3140,-72
3150,-10
3160,-34
3170,-35
3180,-6
3190,-58
3200,-57
3210,-25
3220,-75
3230,-16
3240,-5
3250,8
3260,22
3270,75
3280,-2
3290,47
3300,18
3310,17
3320,21
3330,-4
3340,-9
3350,-33
3360,-31
3370,20
3380,11
3390,4
3400,-29
3410,8
3420,16
3430,23
3440,-19
3450,-30
3460,-20
3470,26
3480,22
3490,0
3500,0
